X Y
160071.317620335437823 5424665.303926923312247
161245.648418939410476 5427658.152937191538513
162944.437632457294967 5430473.718963649123907
161770.106833853351418 5431871.071718536317348
162055.138581087405328 5434384.217344200238585
160470.362066461966606 5435802.421887445263565
159592.464284981309902 5437491.751777028664947
161690.29794462575228 5439316.642742208205163
163240.870649580610916 5439744.18826001137495
170970.931634581938852 5437908.869934782385826
165714.946215578733245 5436761.794683153741062
161633.291595179529395 5433393.55885284114629
158931.190631396399112 5433560.406650942750275
154507.49791431686026 5434540.637037872336805
150916.097899161017267 5434332.077442180365324
154370.682675643067341 5439827.611759507097304
157631.445864007866476 5439890.179380661807954
169842.205915532133076 5435114.175755714066327
168633.671307257609442 5434603.204910136759281
167812.779875223175623 5433664.686514019966125
167482.143048432131764 5433852.390246752649546
166638.449076616409002 5433466.554767112247646
165874.563994028227171 5434676.200757355429232
166570.041457280894974 5434874.332322275266051
166136.793201483786106 5435937.985477057285607
165065.073831883055391 5437794.162454564124346
164495.010337414947571 5437554.319509113207459
163503.099857038992923 5436417.671912885271013
162568.195726109261159 5436782.650605733506382
162362.972868099954212 5436605.375253263860941
161496.476356505707372 5435458.298866536468267
161211.444609271653462 5435260.167389470152557
160937.814131926832488 5434738.76862318161875
160105.521430003194837 5435114.175755714066327
159717.878253763046814 5434916.044226880185306
159649.47063442756189 5434227.797631951980293
159284.629997965937946 5434363.361383643001318
159033.80206039964105 5434384.217344200238585
158087.496659583499422 5433904.530167765915394
158064.694119802152272 5433122.431135835126042
158076.095389691414312 5432893.015331692062318
157996.286500466667349 5432684.455475055612624
156080.873159050213872 5432246.479668599553406
155624.8223634774331 5432069.203705517575145
155054.758869006473105 5432340.33163938857615
153264.759496374579612 5431756.363712442107499
153048.13536847603973 5431307.959592738188803
153162.148067371337675 5430723.991207885555923
152603.485842789668823 5430650.995141560211778
151668.581711859937059 5430286.014749248512089
150574.059802480711369 5431453.951648474670947
150106.607737015845487 5432726.167449028231204
151588.772822635190096 5432069.203705517575145
153937.434419848781545 5427063.75489495228976
154382.083945532300277 5427699.86507042683661
154792.52966155091417 5427491.304391033947468
155123.166488341987133 5428054.418149536475539
154826.733471218671184 5428732.239946713671088
155431.000775357359089 5429420.489414378069341
156445.713795511837816 5429368.349315790459514
156844.758241638366599 5428878.232288108207285
156616.732843853387749 5428335.974938441999257
155921.255380600719946 5428054.418149536475539
156628.134113742649788 5427595.58473485801369
157859.471261795668397 5429118.076813818886876
159033.80206039964105 5431068.115466019138694
159638.069364538328955 5432246.479668599553406
160424.756986904976657 5432131.771695210598409
160436.158256794238696 5432319.475646457634866
160299.343018123239744 5433205.85505470726639
160880.807782480609603 5433351.846900013275445
161633.291595179529395 5433403.986840842291713
161336.858578056213446 5434165.229741850867867
160994.820481373084476 5434634.488845154643059
159022.400790510379011 5435260.167389470152557
158600.553804605355253 5435155.887652724049985
158007.687770355900284 5435030.751957735046744
157517.433165112539427 5435103.747781258076429
156730.745542745891726 5435937.985477057285607
156286.096017059520818 5437095.489404827356339
155738.835062369907973 5437116.345322125591338
155385.39569580036914 5437283.192648625001311
155180.172837791062193 5437262.336733965203166
154849.536010997166159 5438951.664751386269927
