WKT,cat,capacity,origin_rd,origin_pt0
"POINT (153937.434419847850222 5409975.184357858262956)",1,20,1,0
"POINT (154074.24965852042078 5410068.707820597104728)",1,20,1,0
"POINT (161621.890325289976317 5409944.009870278649032)",2,20,1,0
"POINT (161576.285245732462499 5409944.009870278649032)",2,20,1,0
"POINT (161621.890325289976317 5409944.009870278649032)",3,20,1,0
"POINT (161906.922072524466785 5410141.448291615583003)",3,20,1,0
"POINT (153344.568385600112379 5409788.137432380579412)",4,20,1,0
"POINT (153287.562036153191002 5409788.137432380579412)",4,20,1,0
"POINT (153355.969655489490833 5409788.137432380579412)",5,20,1,0
"POINT (153344.568385600112379 5409788.137432380579412)",5,20,1,0
"POINT (153355.969655489490833 5409788.137432380579412)",6,20,1,0
"POINT (153937.434419847850222 5409975.184357858262956)",6,20,1,0
"POINT (153355.969655489490833 5409777.745936520397663)",7,20,1,0
"POINT (153355.969655489490833 5409788.137432380579412)",7,20,1,0
"POINT (161690.297944626247045 5409715.396961362101138)",8,20,1,0
"POINT (161621.890325289976317 5409944.009870278649032)",8,20,1,0
"POINT (161747.304294073168421 5409715.396961362101138)",9,20,1,0
"POINT (161690.297944626247045 5409715.396961362101138)",9,20,1,0
"POINT (167117.302411971148103 5409632.264994482509792)",10,20,1,0
"POINT (167105.901142081769649 5409632.264994482509792)",10,20,1,0
"POINT (167117.302411971148103 5409632.264994482509792)",11,20,1,0
"POINT (167482.143048431287752 5410224.580258494243026)",11,20,1,0
"POINT (167117.302411971148103 5409621.873498623259366)",12,20,1,0
"POINT (167117.302411971148103 5409632.264994482509792)",12,20,1,0
"POINT (166934.882093741063727 5409517.958540024235845)",13,20,1,0
"POINT (167105.901142081769649 5409632.264994482509792)",13,20,1,0
"POINT (166934.882093741063727 5409507.567044164985418)",14,20,1,0
"POINT (166923.480823851685273 5409507.567044164985418)",14,20,1,0
"POINT (166934.882093741063727 5409507.567044164985418)",15,20,1,0
"POINT (166934.882093741063727 5409517.958540024235845)",15,20,1,0
"POINT (159182.018568962666905 5409434.826573145575821)",16,20,1,0
"POINT (158976.795710953825619 5410297.320729513652623)",16,20,1,0
"POINT (167026.092252856091363 5409424.435077285394073)",17,20,1,0
"POINT (166934.882093741063727 5409507.567044164985418)",17,20,1,0
"POINT (167037.493522745469818 5409424.435077285394073)",18,20,1,0
"POINT (167026.092252856091363 5409424.435077285394073)",18,20,1,0
"POINT (167037.493522745469818 5409424.435077285394073)",19,20,1,0
"POINT (167117.302411971148103 5409621.873498623259366)",19,20,1,0
"POINT (153150.746797480649548 5409414.043581426143646)",20,20,1,0
"POINT (153025.332828697457444 5409434.826573145575821)",20,20,1,0
"POINT (153150.746797480649548 5409414.043581426143646)",21,20,1,0
"POINT (153355.969655489490833 5409777.745936520397663)",21,20,1,0
